PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
Gurgaon-Kotputli Highway Project,New Unit,3800,Completed,"Engineering, Procurement & Construction",March 2001,Gurgaon,Haryana,01 Mar 1998,Date of announcement,2001-01-01,3800,2985,815,Y,2001-03-20,Completed,1998-06-30,Y,994,1999-03-01
Jaipur Bypass Phase 1 Project,New Unit,750,Completed,"Engineering, Procurement & Construction",January 2001,Jaipur,Rajasthan,01 Mar 1998,Date of announcement,1998-03-01,750,750,0,N,2001-03-31,Initial completion date,2001-01-31,Y,59,1998-09-01
Samakhiali-Gandhidham (Package I) Highway Project,Substantial Expansion,400,Completed,"Engineering, Procurement & Construction",September 2000,Gandhidham,Gujarat,01 Jun 1998,Date of announcement,1998-06-01,400,400,0,N,2001-05-31,Initial completion date,2000-09-30,Y,243,1998-09-01
Chennai Bypass Phase 1 Project,New Unit,750,Completed,"Engineering, Procurement & Construction",November 2001,Chennai,Tamil Nadu,01 Mar 1998,Date of announcement,2001-04-01,750,500,250,Y,2001-11-30,Completed,2001-08-31,Y,91,1998-06-01
Kamaspur-Haryana/Delhi Border (NS/2) Six Lane Highway Project,Substantial Expansion,430,Completed,"Engineering, Procurement & Construction",November 2001,Delhi,NCT of Delhi,01 Nov 1999,Date of announcement,2001-07-01,430,430,0,N,2001-11-30,Completed,2001-06-30,Y,153,1999-12-12
Barwa-Adda--Barakar Highway Project,Substantial Expansion,1200,Completed,"Engineering, Procurement & Construction",December 2001,Adda,West Bengal,01 Jan 1999,Date of announcement,1999-01-01,1200,1200,0,N,2001-12-31,Completed,2001-06-30,Y,184,1999-03-15
Gandhidham-Samakhiali(PackIII)Port Connectivity Project,Substantial Expansion,473.5,Completed,"Engineering, Procurement & Construction",March 2002,Gandhidham,Gujarat,01 Mar 1999,Date of announcement,2002-01-01,473.5,646.4,-172.9,N,2002-03-31,Initial completion date,2001-05-31,Y,304,1999-05-01
Kalkallu village-Gundla Pochampali (NS-8) Four Lane Highway Project,Substantial Expansion,408.3,Completed,"Engineering, Procurement & Construction",April 2002,Gundla Pochampali,Telangana,01 Nov 1999,Date of announcement,1999-11-01,408.3,408.3,0,N,2002-04-30,Completed,2001-12-31,Y,120,1999-12-01
Sira Bypass Highway Project,New Unit,193.2,Completed,"Engineering, Procurement & Construction",April 2002,Sira,Karnataka,01 Nov 1999,Date of announcement,2002-01-01,193.2,209,-15.8,N,2002-04-30,Completed,2002-03-31,Y,30,2000-07-01
Thopurghar section (NS/14) Highway Project,Substantial Expansion,337.4,Completed,"Engineering, Procurement & Construction",April 2002,Thoppur ghat,Tamil Nadu,01 Nov 1999,Date of announcement,1999-11-01,337.4,337.4,0,N,2002-04-30,Completed,2001-09-30,Y,212,1999-12-15
